source,trial,sq_x,sq_y,point_x_cm,point_y_cm,t_start,t_end,dwell_s,arrived,arrived_during_dwell,latency_s,after_dwell_s,robot_x_cm,robot_y_cm,deduped_from,arrival_error_cm,robot_position_error_cm
trial_01_2026-05-09-01-16-14,16,70.0,20.0,67.4,20.0,1778282196.43,1778282197.947,1.517,1,0,10.923,9.407,65.1,24.4,exp_2026-05-09-01-15-21#20;trial_01_2026-05-09-01-16-14#16,6.586,6.586
trial_01_2026-05-09-01-16-14,17,60.0,10.0,59.9,0.2,1778282197.947,1778282210.062,12.116,0,0,,,56.9,4.2,trial_01_2026-05-09-01-16-14#17;exp_2026-05-09-01-15-21#21,,6.576
trial_02_2026-05-09-01-16-57,1,30.0,50.0,33.4,50.9,1778282224.96,1778282225.666,0.706,1,0,5.652,4.946,30.7,54.8,trial_02_2026-05-09-01-16-57#1;exp_2026-05-09-01-15-21#22,4.851,4.851
trial_02_2026-05-09-01-16-57,2,30.0,40.0,32.5,39.5,1778282225.666,1778282226.731,1.065,1,0,5.648,4.584,30.1,44.4,trial_02_2026-05-09-01-16-57#2;exp_2026-05-09-01-15-21#23,4.401,4.401
trial_02_2026-05-09-01-16-57,3,40.0,40.0,39.3,36.7,1778282226.731,1778282227.481,0.751,1,0,1.4,0.649,44.9,35.4,exp_2026-05-09-01-15-21#24;trial_02_2026-05-09-01-16-57#3,6.721,6.721
trial_02_2026-05-09-01-16-57,4,50.0,40.0,50.1,39.8,1778282227.481,1778282228.065,0.584,1,0,6.045,5.461,45.7,35.1,exp_2026-05-09-01-15-21#25;trial_02_2026-05-09-01-16-57#4,6.519,6.519
trial_02_2026-05-09-01-16-57,5,60.0,40.0,62.0,38.7,1778282228.065,1778282228.938,0.873,1,0,7.214,6.341,62.8,45.0,exp_2026-05-09-01-15-21#26;trial_02_2026-05-09-01-16-57#5,5.731,5.731
trial_02_2026-05-09-01-16-57,6,60.0,30.0,61.3,33.2,1778282228.938,1778282229.579,0.641,1,0,7.506,6.865,64.9,31.2,trial_02_2026-05-09-01-16-57#6;exp_2026-05-09-01-15-21#27,5.045,5.045
trial_02_2026-05-09-01-16-57,7,50.0,30.0,49.8,29.0,1778282229.579,1778282230.182,0.603,1,0,3.609,3.006,45.1,31.1,trial_02_2026-05-09-01-16-57#7;exp_2026-05-09-01-15-21#28,5.022,5.022
trial_02_2026-05-09-01-16-57,8,30.0,20.0,30.0,23.6,1778282230.794,1778282231.38,0.586,1,0,8.492,7.906,31.9,24.8,exp_2026-05-09-01-15-21#29;trial_02_2026-05-09-01-16-57#8,5.162,5.162
trial_02_2026-05-09-01-16-57,9,20.0,30.0,20.6,29.5,1778282231.512,1778282232.532,1.02,1,0,9.119,8.099,16.7,25.1,exp_2026-05-09-01-15-21#30;trial_02_2026-05-09-01-16-57#9,5.908,5.908
trial_02_2026-05-09-01-16-57,10,60.0,30.0,58.5,33.6,1778282234.314,1778282234.915,0.601,1,0,2.13,1.529,64.9,31.2,trial_02_2026-05-09-01-16-57#10;exp_2026-05-09-01-15-21#31,5.045,5.045
trial_02_2026-05-09-01-16-57,11,50.0,30.0,51.0,32.3,1778282234.915,1778282235.43,0.515,1,0,2.876,2.362,49.5,25.0,exp_2026-05-09-01-15-21#32;trial_02_2026-05-09-01-16-57#11,5.025,5.025
trial_02_2026-05-09-01-16-57,12,40.0,30.0,39.8,32.0,1778282235.43,1778282236.022,0.592,1,0,2.816,2.224,44.9,28.9,exp_2026-05-09-01-15-21#33;trial_02_2026-05-09-01-16-57#12,5.022,5.022
trial_02_2026-05-09-01-16-57,13,20.0,30.0,19.0,31.7,1778282236.505,1778282237.034,0.529,1,0,4.126,3.597,16.7,25.1,exp_2026-05-09-01-15-21#34;trial_02_2026-05-09-01-16-57#13,5.908,5.908
trial_02_2026-05-09-01-16-57,14,10.0,30.0,12.4,31.6,1778282237.034,1778282237.89,0.856,1,0,12.098,11.242,14.6,32.8,exp_2026-05-09-01-15-21#35;trial_02_2026-05-09-01-16-57#14,5.385,5.385
trial_02_2026-05-09-01-16-57,15,20.0,50.0,21.3,47.7,1778282238.545,1778282239.17,0.625,1,0,12.9,12.275,15.4,46.1,trial_02_2026-05-09-01-16-57#15;exp_2026-05-09-01-15-21#36,6.031,6.031
trial_02_2026-05-09-01-16-57,16,30.0,50.0,29.7,50.6,1778282239.17,1778282239.737,0.567,1,0,13.008,12.441,25.3,52.0,exp_2026-05-09-01-15-21#37;trial_02_2026-05-09-01-16-57#16,5.108,5.108
trial_02_2026-05-09-01-16-57,17,70.0,40.0,73.9,39.8,1778282241.096,1778282241.83,0.734,1,0,13.625,12.891,65.0,44.0,exp_2026-05-09-01-15-21#38;trial_02_2026-05-09-01-16-57#17,6.403,6.403
trial_02_2026-05-09-01-16-57,18,60.0,30.0,60.9,27.5,1778282242.275,1778282242.98,0.705,1,0,2.12,1.415,55.3,34.5,exp_2026-05-09-01-15-21#39;trial_02_2026-05-09-01-16-57#18,6.507,6.507
trial_02_2026-05-09-01-16-57,19,50.0,20.0,51.2,20.4,1778282243.259,1778282244.117,0.858,1,0,15.071,14.213,54.7,22.7,trial_02_2026-05-09-01-16-57#19;exp_2026-05-09-01-15-21#40,5.420,5.420
trial_02_2026-05-09-01-16-57,20,20.0,20.0,19.7,18.1,1778282244.771,1778282245.337,0.566,1,0,15.661,15.095,24.7,17.2,exp_2026-05-09-01-15-21#41;trial_02_2026-05-09-01-16-57#20,5.471,5.471
trial_02_2026-05-09-01-16-57,21,10.0,20.0,9.6,18.6,1778282245.337,1778282267.557,22.22,1,1,15.705,0.0,14.6,23.0,exp_2026-05-09-01-15-21#42;trial_02_2026-05-09-01-16-57#21,5.492,5.492
exp_2026-05-09-01-15-21,43,60.0,50.0,61.4,59.1,1778282272.494,1778282273.613,1.119,0,0,,,3.7,13.9,,,66.880
