target,height_cm,trial,u_gt,v_gt,u_mean,v_mean,u_std,v_std,n_samples,error_mm,latency_mean_ms,latency_std_ms
1,0,1,0.1,0.167,0.1039,0.131,0.0006,0.0093,97,21.8,23.7,2.2
1,0,2,0.1,0.167,0.1046,0.1182,0.0031,0.0253,102,29.5,23.7,2.7
1,0,3,0.1,0.167,0.1039,0.1255,0.004,0.009,73,25.1,23.1,2.7
1,0,4,0.1,0.167,0.1064,0.0991,0.0024,0.0239,87,41.1,24.1,2.2
1,0,5,0.1,0.167,0.102,0.1375,0.0027,0.0179,96,17.8,24.1,2.6
2,0,1,0.3,0.5,0.3094,0.5073,0.0029,0.0163,155,9.1,25.5,3.9
2,0,2,0.3,0.5,0.3067,0.5183,0.0029,0.0251,217,12.4,27.4,3.0
2,0,3,0.3,0.5,0.3052,0.5306,0.0045,0.0087,151,18.9,28.3,2.8
2,0,4,0.3,0.5,0.3089,0.5277,0.0034,0.0117,179,18.3,25.1,3.0
2,0,5,0.3,0.5,0.3072,0.5234,0.0029,0.0037,121,15.3,25.1,3.3
3,0,1,0.5,0.833,0.5112,0.8743,0.0069,0.0117,98,26.5,27.7,4.8
3,0,2,0.5,0.833,0.5097,0.8757,0.006,0.0167,155,26.9,28.6,4.6
3,0,3,0.5,0.833,0.51,0.8792,0.0038,0.0187,114,29.0,29.4,3.4
3,0,4,0.5,0.833,0.5087,0.8827,0.0032,0.0116,122,30.7,26.3,2.2
3,0,5,0.5,0.833,0.5136,0.8594,0.0039,0.031,172,19.6,26.6,4.4
4,0,1,0.7,0.167,0.719,0.2012,0.0065,0.0101,170,26.1,28.8,3.7
4,0,2,0.7,0.167,0.7199,0.1814,0.0011,0.0097,102,19.0,27.4,3.5
4,0,3,0.7,0.167,0.7178,0.1883,0.0024,0.0097,146,19.8,24.8,2.7
4,0,4,0.7,0.167,0.7184,0.1908,0.0009,0.0093,268,21.2,26.7,2.5
4,0,5,0.7,0.167,0.7176,0.1948,0.001,0.0118,121,22.4,28.2,3.0
5,0,1,0.9,0.833,0.9119,0.9076,0.0061,0.0717,302,45.9,25.3,4.3
5,0,2,0.9,0.833,0.9131,0.9116,0.0141,0.0784,194,48.5,27.3,2.5
5,0,3,0.9,0.833,0.9135,0.9115,0.0068,0.0548,243,48.5,28.1,3.7
5,0,4,0.9,0.833,0.9145,0.9018,0.0101,0.0811,253,43.0,26.3,3.1
5,0,5,0.9,0.833,0.9127,0.9224,0.0073,0.0408,229,54.7,28.2,3.9
1,25,1,0.1,0.167,0.076,0.1607,0.0344,0.0633,103,20.7,25.9,3.1
1,25,2,0.1,0.167,0.4152,0.1995,0.1047,0.1319,60,268.7,25.5,3.5
1,25,3,0.1,0.167,0.2492,0.0778,0.0418,0.0697,93,137.7,25.3,4.1
1,25,4,0.1,0.167,0.0839,0.0925,0.0109,0.0872,22,46.7,27.4,3.3
1,25,5,0.1,0.167,0.2543,0.2472,0.0092,0.1736,15,139.7,32.4,7.7
2,25,1,0.3,0.5,0.3759,0.1292,0.0315,0.0409,25,231.6,27.8,3.0
2,25,2,0.3,0.5,0.9015,0.8,0.0788,0.137,72,542.0,27.6,3.7
2,25,3,0.3,0.5,0.2883,0.3633,0.0167,0.0452,132,82.6,25.6,3.3
2,25,4,0.3,0.5,0.2877,0.4203,0.0163,0.037,228,48.9,24.9,2.4
2,25,5,0.3,0.5,0.2794,0.4769,0.0076,0.0255,37,22.3,28.1,4.3
3,25,1,0.5,0.833,0.2914,0.3644,0.0086,0.0267,385,332.4,27.2,3.3
3,25,2,0.5,0.833,0.28,0.4437,0.0084,0.0438,106,299.2,28.3,3.4
3,25,3,0.5,0.833,0.2811,0.433,0.0145,0.0439,56,303.7,26.0,2.2
3,25,4,0.5,0.833,0.5136,0.3607,0.0433,0.2806,21,283.6,26.4,3.9
3,25,5,0.5,0.833,0.4756,0.9115,0.0229,0.0315,112,51.5,25.4,2.6
4,25,1,0.7,0.167,0.6992,0.1947,0.0103,0.0849,139,16.6,26.9,2.7
4,25,2,0.7,0.167,0.6879,0.2555,0.0144,0.0846,223,54.1,26.8,3.7
4,25,3,0.7,0.167,0.7002,0.3084,0.0137,0.0622,209,84.8,28.3,2.9
4,25,4,0.7,0.167,0.7246,0.0711,0.0076,0.0398,148,61.2,24.8,3.3
4,25,5,0.7,0.167,0.6983,0.2238,0.0086,0.058,140,34.1,27.4,3.4
5,25,1,0.9,0.833,0.8928,0.9351,0.0086,0.0569,60,61.5,26.5,4.0
5,25,2,0.9,0.833,0.898,0.9323,0.0101,0.0486,42,59.6,27.5,3.2
5,25,3,0.9,0.833,0.8694,0.9108,0.014,0.0734,89,53.5,25.8,5.0
5,25,4,0.9,0.833,0.8932,0.7887,0.0128,0.2698,53,27.2,28.1,4.4
5,25,5,0.9,0.833,0.9085,0.9139,0.0061,0.018,42,49.1,28.8,2.3
1,50,1,0.1,0.167,0.0703,0.2602,0.0325,0.1178,267,61.3,35.6,5.5
1,50,2,0.1,0.167,0.0559,0.3259,0.0535,0.1194,204,102.4,35.4,4.8
1,50,3,0.1,0.167,0.0645,0.2107,0.0433,0.1054,687,40.0,35.6,5.8
1,50,4,0.1,0.167,0.0944,0.1996,0.0471,0.0998,491,20.2,35.8,6.0
1,50,5,0.1,0.167,0.1081,0.0875,0.0426,0.0629,109,48.2,35.6,6.5
2,50,1,0.3,0.5,0.2594,0.327,0.064,0.1184,333,109.4,35.9,5.8
2,50,2,0.3,0.5,0.2676,0.47,0.0249,0.1271,685,32.9,35.6,5.7
2,50,3,0.3,0.5,0.2456,0.3653,0.0212,0.0778,113,93.1,35.5,5.0
2,50,4,0.3,0.5,0.2523,0.5033,0.0073,0.0643,88,40.6,36.2,5.0
2,50,5,0.3,0.5,0.2503,0.4907,0.0679,0.1525,152,42.6,36.0,6.0
