target,height_cm,trial,u_gt,v_gt,u_mean,v_mean,u_std,v_std,n_samples,error_mm,latency_mean_ms,latency_std_ms
3,50,1,0.5,0.833,0.4644,0.8465,0.0202,0.0994,127,31.3,36.0,5.7
3,50,2,0.5,0.833,0.461,0.9255,0.04,0.0596,104,64.6,36.5,6.6
3,50,3,0.5,0.833,0.4214,0.8907,0.0251,0.1072,93,75.2,35.2,4.6
3,50,4,0.5,0.833,0.4672,0.7329,0.0275,0.2217,122,66.2,34.9,4.5
3,50,5,0.5,0.833,0.4689,0.9465,0.0538,0.031,59,73.1,36.8,6.1
4,50,1,0.7,0.167,0.6806,0.142,0.0134,0.1076,215,22.3,35.6,5.5
4,50,2,0.7,0.167,0.6783,0.3241,0.0158,0.2053,171,96.0,35.2,4.8
4,50,3,0.7,0.167,0.7023,0.1722,0.0124,0.1293,86,3.7,36.4,6.0
4,50,4,0.7,0.167,0.6729,0.0844,0.0363,0.0548,35,54.6,37.2,9.2
4,50,5,0.7,0.167,0.7144,0.0608,0.0174,0.0311,96,64.9,35.8,5.5
5,50,1,0.9,0.833,0.8978,0.6121,0.0337,0.2003,52,132.6,37.6,9.3
5,50,2,0.9,0.833,0.8865,0.8829,0.0134,0.0692,86,32.1,35.8,4.8
5,50,3,0.9,0.833,0.8023,0.7292,0.0494,0.1055,18,103.8,36.1,5.2
5,50,4,0.9,0.833,0.8628,0.7897,0.0226,0.0684,20,40.9,34.5,3.5
5,50,5,0.9,0.833,0.8624,0.946,0.0179,0.0808,64,74.9,36.1,5.1
