target,height_cm,trial,u_gt,v_gt,u_mean,v_mean,u_std,v_std,n_samples,error_mm,latency_mean_ms,latency_std_ms
2,50,3,0.3,0.5,0.2447,0.4166,0.0032,0.0082,23,68.6,37.2,6.7
2,50,4,0.3,0.5,0.2356,0.4352,0.0016,0.0054,27,67.1,34.2,5.5
2,50,5,0.3,0.5,0.1946,0.5267,0.0026,0.0363,26,91.0,35.0,5.0
3,50,1,0.5,0.833,0.4364,0.9581,0.0055,0.0131,26,92.5,33.7,4.4
3,50,2,0.5,0.833,0.4065,0.8909,0.0007,0.0044,21,86.7,40.1,5.8
3,50,3,0.5,0.833,0.4089,0.8193,0.0016,0.0242,23,77.9,37.1,6.1
3,50,4,0.5,0.833,0.4085,0.8266,0.0009,0.0107,23,77.9,35.6,6.4
3,50,5,0.5,0.833,0.4134,0.7953,0.0005,0.0045,23,77.0,35.7,5.6
4,50,1,0.7,0.167,0.6883,0.138,0.0025,0.0039,24,20.1,35.5,5.9
4,50,2,0.7,0.167,0.6956,0.2364,0.0018,0.0057,25,41.8,38.1,8.9
4,50,3,0.7,0.167,0.6937,0.3097,0.0029,0.0104,24,85.8,35.6,5.2
4,50,4,0.7,0.167,0.6908,0.3222,0.0026,0.0161,24,93.4,37.0,6.2
4,50,5,0.7,0.167,0.6965,0.3446,0.0012,0.0202,27,106.6,32.8,5.4
5,50,1,0.9,0.833,0.8884,0.8697,0.002,0.0444,21,24.1,38.5,5.4
5,50,2,0.9,0.833,0.8928,0.9781,0.002,0.005,25,87.3,34.2,5.2
5,50,3,0.9,0.833,0.8497,0.943,0.0056,0.0236,15,78.7,36.2,4.0
5,50,4,0.9,0.833,0.8193,0.9491,0.002,0.0201,23,97.7,37.6,6.3
5,50,5,0.9,0.833,0.8475,0.9375,0.015,0.0149,22,77.0,33.3,4.3
