Bag       : /home/mariam-machaidze/Desktop/thesis/bags/thesis_final/trial_01_2026-05-09-01-16-14.bag
Trials    : 17
Metric    : eventual arrival inside the requested 10x10 cm square
Arrived   : 15/17 = 88.2%
During dwell: 2/17 = 11.8%
Min dwell : 0.5s
Latency   : 5.53 ± 3.72 s  (min 0.00, max 13.90)

trial,sq_x,sq_y,arrived,arrived_during_dwell,latency_s,after_dwell_s,robot_x_cm,robot_y_cm
1,40.0,20.0,1,0,1.161,0.174,35.1,20.9
2,40.0,30.0,1,1,0.943,0.0,41.4,25.5
3,60.0,30.0,1,0,3.687,3.185,55.2,31.0
4,70.0,30.0,1,0,13.903,12.172,69.2,34.7
5,60.0,20.0,1,0,4.544,3.965,64.6,22.7
6,50.0,20.0,1,1,0.0,0.0,48.9,25.0
7,40.0,20.0,1,0,4.708,4.111,44.4,15.7
8,20.0,20.0,1,0,5.259,4.409,21.9,15.2
9,20.0,30.0,1,0,5.037,4.172,19.0,25.2
10,40.0,40.0,0,0,,,64.6,22.7
11,50.0,50.0,1,0,5.805,5.257,45.1,48.7
12,60.0,40.0,1,0,5.53,4.534,55.5,45.0
13,40.0,30.0,1,0,6.306,4.981,44.9,33.5
14,50.0,30.0,1,0,4.183,3.487,54.7,25.3
15,60.0,30.0,1,0,10.967,10.265,55.4,29.2
16,70.0,20.0,1,0,10.923,9.407,65.1,24.4
17,60.0,10.0,0,0,,,56.9,4.2
