target,height_cm,trial,u_gt,v_gt,u_mean,v_mean,u_std,v_std,n_samples,error_mm,latency_mean_ms,latency_std_ms
3,30,3,0.794,0.222,0.7662,0.152,0.0043,0.03,104,48.2,58.3,15.1
3,30,4,0.794,0.222,0.7694,0.193,0.0103,0.0986,120,27.2,61.6,21.0
3,30,5,0.794,0.222,0.788,0.1147,0.023,0.0797,121,64.6,56.1,15.3
4,30,1,0.206,0.5,0.1659,0.2101,0.0331,0.0979,154,177.3,57.2,15.8
4,30,2,0.206,0.5,0.181,0.3122,0.0212,0.1269,216,114.6,60.7,16.7
4,30,3,0.206,0.5,0.1591,0.4359,0.0124,0.0584,95,55.4,53.9,14.8
4,30,4,0.206,0.5,0.1693,0.4221,0.0142,0.0988,141,56.2,57.9,14.7
4,30,5,0.206,0.5,0.1646,0.4901,0.0171,0.1337,163,35.7,58.9,17.1
5,30,1,0.5,0.5,0.4804,0.4479,0.0049,0.0504,112,35.4,59.0,17.1
5,30,2,0.5,0.5,0.4746,0.5066,0.0052,0.0453,105,22.0,61.8,17.9
5,30,3,0.5,0.5,0.4729,0.5299,0.0026,0.0422,160,29.2,59.2,17.3
5,30,4,0.5,0.5,0.479,0.4459,0.0026,0.0235,140,37.0,55.7,15.1
5,30,5,0.5,0.5,0.4712,0.4907,0.0042,0.0526,130,25.1,56.7,15.3
6,30,1,0.794,0.5,0.4663,0.4352,0.0022,0.0315,26,281.3,58.5,16.3
6,30,2,0.794,0.5,0.7905,0.4989,0.0059,0.0435,155,3.0,59.1,17.8
6,30,3,0.794,0.5,0.7886,0.5832,0.0034,0.029,256,50.1,58.7,18.3
6,30,4,0.794,0.5,0.7885,0.5906,0.0031,0.0257,146,54.6,58.6,16.2
6,30,5,0.794,0.5,0.788,0.5885,0.0022,0.0145,114,53.4,59.5,17.2
7,30,1,0.206,0.778,0.1803,0.745,0.0052,0.0226,136,29.5,60.0,15.9
7,30,2,0.206,0.778,0.1814,0.7169,0.0022,0.0272,107,42.2,61.6,18.5
7,30,3,0.206,0.778,0.179,0.7135,0.0036,0.0212,103,45.0,63.4,18.3
7,30,4,0.206,0.778,0.1752,0.7469,0.003,0.0271,88,32.2,63.6,20.8
7,30,5,0.206,0.778,0.1718,0.7577,0.0044,0.0316,144,31.5,62.0,18.1
8,30,1,0.5,0.778,0.4679,0.7672,0.0062,0.0175,97,28.0,58.6,15.1
8,30,2,0.5,0.778,0.471,0.7748,0.0037,0.0156,116,24.7,61.8,18.6
8,30,3,0.5,0.778,0.4722,0.7827,0.0059,0.0157,103,23.8,57.9,14.3
8,30,4,0.5,0.778,0.4754,0.7643,0.0035,0.0325,87,22.5,60.8,16.7
8,30,5,0.5,0.778,0.4723,0.8011,0.003,0.0144,84,27.3,62.9,18.6
9,30,1,0.794,0.778,0.4704,0.7794,0.0033,0.0204,137,275.0,61.0,18.4
9,30,2,0.794,0.778,0.7799,0.8314,0.0029,0.0286,87,34.2,60.9,16.8
9,30,3,0.794,0.778,0.775,0.8521,0.0034,0.0207,114,47.3,65.1,19.0
9,30,4,0.794,0.778,0.7733,0.8481,0.0035,0.0254,91,45.6,58.8,16.6
9,30,5,0.794,0.778,0.7745,0.8075,0.0036,0.0285,52,24.3,56.9,15.2
1,50,1,0.206,0.222,0.1679,0.185,0.006,0.0184,99,39.3,59.6,16.6
1,50,2,0.206,0.222,0.1689,0.199,0.005,0.038,198,34.4,61.6,19.1
